station,storet_id,usgs_id,long_name,short_name,has_telemetry,tel_min_tstamp,tel_max_tstamp,has_archive,arc_min_tstamp,arc_max_tstamp,has_water_chemistry,has_gagings,has_cross_section,has_flood_levels,has_photos,has_description,provider1,provider2,is_cwl_site,is_flood_warning_gage,county_id,dnr_major,has_stats,class_262,value_232,value_262,tstamp_232,tstamp_262,lat,lon
"72061001","S002-755","05127000","Kawishiwi River nr Winton, MN","Kawishiwi River",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"1905-07-01 00:00:00","2011-09-29 00:00:00",1,0,0,0,0,0,USGS,,1,0,38,72,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",47.934640,-91.763091
"05013003","S005-617","","Skunk Creek nr Pleasant Valley, CR103","Skunk Pleasant",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"2009-05-07 00:00:00","2011-11-14 00:00:00",0,1,0,0,0,1,PCA,,0,0,09,05,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",46.515431,-92.461660
"41046001","S004-452","","West Indian Creek nr Plainview, CSAH4","West Indian Crk",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"2007-06-28 00:00:00","2011-10-24 00:00:00",1,1,0,0,1,0,PCA,,0,0,79,41,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",44.248903,-92.149856
"72003001","S002-818","05124480","Kawishiwi River nr Ely, MN","Kawishiwi",1,"2010-12-31 21:30:00","2012-07-26 10:15:00",1,"2006-03-01 00:00:00","2012-07-21 00:00:00",1,0,0,0,0,0,USGS,,0,0,38,72,1,5,3.91,253,"2012-07-26 10:15:00","2012-07-26 10:15:00",47.923456,-91.534648
"18022001","","","Crow River Middle Fork at Spicer, North Shore Drive","M.F.Crow R. Old Mill",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"1996-06-10 00:00:00","2005-11-08 00:00:00",0,1,0,0,0,1,DNR,,0,0,34,18,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",45.264164,-94.934869
"53014001","S005-572","05476900","Fourmile Creek nr Dunnell, MN4","Fourmile Crk",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"2009-03-28 00:00:00","2010-10-24 00:00:00",1,1,1,0,1,1,PCA,,0,0,46,53,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",43.582401,-94.774475
"26098001","S004-705","","Little Chippewa River nr New Prairie, MN28","Chip22",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"2007-03-23 00:00:00","2009-12-01 00:00:00",1,1,0,0,0,0,PCA,,0,0,61,26,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",45.614481,-95.620128
"26042001","S002-208","","Henchien Lake Outlet nr New London, CR38","Henchien Lk Outlet",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"1995-10-01 00:00:00","2002-09-29 00:00:00",1,1,0,0,0,1,DNR,,0,0,34,26,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",45.321101,-95.051299
"72090001","","05127205","Burntside River nr Ely, MN","Burntside River",0,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",1,"1967-05-09 00:00:00","1978-09-29 00:00:00",0,0,0,0,0,0,USGS,,0,0,69,72,0,7,-1,-1,"0001-01-01 00:00:00 BC","0001-01-01 00:00:00 BC",47.914936,-91.950188
"77069001","S004-000","05132000","Big Fork River at Big Falls, MN","Big Fork River",1,"2010-12-31 21:00:00","2012-07-26 09:30:00",1,"1909-09-01 00:00:00","2012-07-21 00:00:00",1,0,0,0,0,0,USGS,,1,0,36,77,1,4,3.33,283,"2012-07-26 09:30:00","2012-07-26 09:30:00",48.196627,-93.807164
